264737,246145,196520,193876,184084,243704,266099,228459,184951,155149,230530,166024,172644,241275,209965,196662,184818,198614,269147,172685,192582,158751,200598,226631,197943,224580,190343,263437,222753,290067,300254,223897,272590,299572,226424,371088,319235,300485,311459,239362,235114,377909,284785,305709,333235,289550,344933,262940,346425,334016,312833,320898,325988,190630,313645,319003,248119,221100,342197,386702,324106,279004,265716,324234,270873,183519,380770,424975,353786,379365,231928,203016,356061,264270,340206,304544,218853,237815,279542,380405,292025,356478,207192,377222,207834,304629,312549,280909,217708,253389,371081,223240,193974,211808,383672,291733,228979,208760,332666,195421
482023,560366,666008,822077,468242,614914,681573,777513,531049,743209,439756,345514,463386,641391,559148,615248,466951,402234,649124,514431,467494,855620,509758,576233,645348,710034,680661,460915,649341,679734,481624,541828,651071,351212,517074,674307,608301,376097,696423,551659,625360,642596,390685,358395,715203,804679,728485,497433,392831,649906,702442,638187,540364,526174,602043,546433,599309,412175,505846,606460,506076,621492,675631,435480,394294,519766,440443,681323,875539,1028559,588447,546044,639063,834643,480613,483622,504951,669306,532242,575778,659237,607754,385904,703006,420961,876832,721903,579969,630569,624340,534169,449001,591591,454354,703222,448345,638484,629188,777284,517784
1645002,1302137,711414,1120857,1133801,951550,1012442,1219320,836957,970070,1105478,1578352,953712,1336955,785535,1319012,888696,911349,1166365,992399,1518031,1120055,1306659,1029348,1401744,1369908,1313720,1231226,1255578,983954,735048,876704,971431,1183208,1049862,868456,1651439,1487499,1102168,1376923,1167469,977332,755390,1594263,879879,1108465,1045177,963574,1587169,1117515,1284851,1669791,1607097,1189511,1008607,1327754,1499991,861645,1130035,1562450,1540674,843002,1620083,1017692,1375451,1189811,1194393,1029049,1265967,1347554,1288294,1582176,961617,1213700,1099639,1754972,1828471,1337728,1424217,1408645,1555977,1035481,1630419,1243354,913695,1268311,1090550,1230226,1344833,1525580,1604871,984049,1346524,1244796,993731,971482,1255794,1264083,1480196,1439918
1656279,1990298,2319709,2661627,2975326,2598763,2040880,1955641,2705018,2568061,2044307,2490331,2239770,2296451,3350941,3485714,2453863,1740382,1673219,2428683,2032108,2410475,2183485,1934611,2199489,3030713,3256246,2688012,2328458,2375314,2116401,3180340,2250929,2273645,1872598,1869736,2082084,1633705,2810767,2301880,2682023,2131272,3373458,2810971,2285354,2599362,2094571,2328636,2876286,1661089,2113800,2523841,2851887,2169180,2879588,2554197,1945637,1690570,2830172,2470031,1617929,3273419,2008997,1834354,2326343,3589698,2303719,2356197,2268886,3534679,2892011,2508416,2951152,2192025,2699041,2366457,2241991,2743560,2711214,1799093,2131677,1685216,2668583,2380270,2396356,3413608,1984081,3076659,2256966,2676372,3400407,2428186,2026733,2554905,2898101,2194990,2826534,1902671,2615977,2418799
6364959,5396731,4529471,3631803,4303294,5011713,7269187,6102027,5242494,4627376,4439616,6444831,6555164,4111925,7474802,4482956,6677930,6553843,5266272,3835166,5361698,4121108,7079599,5510087,3860368,7335574,3710760,4404914,4988294,5894849,4377262,6104641,5396909,6365589,5887276,5375728,5984007,5045483,5620951,4360680,5649900,7086171,5904405,4887536,6184527,5456665,3612684,3503433,5092511,4149642,5857047,5618199,4013000,3813167,5895581,7301560,3324740,4864829,5493747,4643259,5066681,6702485,5654335,3780414,4242590,4033761,4968525,5753951,5891999,5575429,4660434,5812123,5187479,6021353,5121477,6838816,5833031,5931780,6379991,5286925,3927301,5921008,4135824,4066222,4628330,3633709,4504262,5011350,4431482,5050646,4951468,7019170,3990011,4524015,3507999,5182038,5404580,4619360,3571343,3587433
8929338,13937267,8641430,9542836,13164105,9908388,12311953,12036523,11949114,11264762,9514482,9496611,13111304,12620849,7305788,13380580,7513571,11238393,7773693,10765723,10947507,10193658,13058614,11934005,11356903,13701380,7820351,11200627,11740624,10219649,7435914,10158140,11275592,12197078,8838424,9966793,9024926,6696308,10641769,8233994,9279958,12262855,9195990,12627985,10979853,10705957,8114150,12612442,6535538,7403485,9953667,12142340,10866240,10955077,11489026,7568290,8214253,13564687,8355164,10567352,7939198,7530573,10282342,12214086,8757990,9410477,7059577,11051531,10665592,9357589,8545206,7961105,10907098,7824867,10863384,10145458,8104667,12688570,11607302,8784578,9145358,11393658,10771550,10481132,7827986,11088868,9222489,13362167,10365427,9683620,8353603,8234336,11407913,13020515,8724383,11002462,8491835,12406656,8727954,9879807
24234087,21674193,23258591,16675687,21414363,13235587,15110370,19008279,14983181,17347198,21360721,14404154,14306793,20551029,20163844,19352859,20000513,23680958,19086335,15895354,21111769,19122243,22192112,13881598,15344293,21460477,26663524,18556680,25225952,18575534,16895199,17034347,19824115,22463946,23489777,19431461,12995839,14667448,22658969,15897341,19166621,18199743,21826607,18793722,22002976,19953694,18836394,14592028,23880351,16409872,19321231,19065622,14608268,16546595,32129706,20735663,17833874,23337049,17187726,20014102,22194406,21883714,27372336,19455244,23943347,13490815,15946714,18813057,27298135,15191614,19569932,13719293,13592936,17131137,19829656,13282802,20202928,22324189,19116545,20642745,17435154,27971809,21311406,15754282,16252881,19811398,22724668,16726087,23596828,20220630,25728653,23583039,14855162,15366957,14707042,22192618,21019985,28953354,18729101,27977086
54396870,48552624,54842048,33603411,39065525,40650947,36333626,40160490,26931395,29208643,39742170,44566238,34735993,47320466,50371138,44293610,50125508,42838011,59067410,47653916,28242769,41011139,59536870,37603584,33720201,46147927,33325729,36263919,49449910,60059078,48992581,39272300,30297017,62674000,55905722,55900845,42744105,30551166,45348397,44896250,39070706,47405159,56081516,48591430,28719916,35950280,47552782,27608635,47210792,50251865,49541372,50581520,34412773,45355971,47582907,41607725,44112662,56710822,40605552,41239984,28045192,29260142,43724291,41698897,53647743,36782457,54055953,54022666,33462866,43707661,49319268,33021165,60539112,34069448,54409863,32114016,34899655,36695797,39660838,29008302,37570992,61149219,32898906,36591570,33647258,46118658,46960261,36822856,38583019,42718558,30489434,30511212,54613429,46358522,40399876,51097827,36342815,39981806,47641567,43434244
107345880,125445438,77304750,70987603,93386716,98044136,99317327,84056223,78228228,110416840,112274847,87089282,82930890,117415849,82518060,105594185,79868359,109675902,81414996,90191040,79680298,99634557,69437620,101509233,76000193,73347196,99840745,97830858,66601388,90854963,95045009,120841796,104759125,86787284,97913626,107064575,102789339,73598442,86058695,97784807,69341970,73122072,74339761,120989983,81495329,81183789,92230181,112470645,99670744,102195082,104954328,61088351,96551545,104459493,85919780,76331712,94518153,100789783,108541385,87250141,147129482,97207515,82877594,82331722,99221771,116411386,145698476,97615854,108204404,125985522,90622084,109274732,96229149,99939587,78239987,74554478,78708710,97725692,93858491,92521730,69063009,76182578,100825308,115585395,105792264,84212581,96216014,104280722,70827250,80170704,54233082,105345338,125355067,120361367,85504422,148610112,105787936,136528395,133009305,104013992
