4774,5366,5121,3301,554,3062,7761,3244,6213,14250,5038,1357,2405,5193,5901,9024,9406,2259,2216,9411,5545,8379,4894,1229,5257,4371,1160,4781,3455,12340,2843,4110,5505,5884,4302,6194,6098,8407,4317,5135,4053,10681,4978,10366,7432,3635,7690,7867,4188,1372,4632,2098,4480,5330,3201,14165,4743,821,9051,6264,18415,9585,3061,2763,11570,7032,2333,2933,9584,4247,509,12175,5676,993,9449,6400,9337,20973,4213,1664,303,2667,5710,3875,10345,2243,4481,8503,3361,5951,14415,2126,12609,1688,5789,3765,13732,3046,7799,10585
1051,14281,3478,4768,4937,4260,3716,5446,4771,4978,4323,8891,2121,4877,1839,6984,3220,1909,2692,2950,5770,4536,7037,9184,15140,4777,13029,6939,3864,8110,4160,3183,9796,5525,10806,2664,12709,1957,14994,4167,19281,8428,4822,8312,11072,6444,3857,5307,13676,2688,2950,5364,6521,5616,13574,5416,6316,3870,11996,4183,2504,21739,4966,7636,5531,15123,16644,1733,14904,6239,19279,14501,776,4444,13321,18101,11130,5079,18344,6250,5206,11062,1852,11164,5990,11516,22459,12040,5568,4660,7590,10551,5088,3542,21020,2404,18250,4166,5404,3588
17811,40595,17618,14113,35624,18774,4268,10373,20165,16735,9120,6631,42944,12582,27901,37613,20533,6047,16558,33436,18435,8206,15576,22022,19565,9618,26860,8142,8862,34657,14554,796,10530,18358,32580,13902,14939,3681,24127,7732,7148,4455,13214,11730,5116,28411,24052,20263,15452,17649,5163,23705,12892,9028,10502,15393,32341,7712,8342,10563,3939,6540,2473,7756,12263,13527,3933,3622,14849,8788,5738,3777,7406,10499,6726,17056,12884,2249,14708,3440,13856,22906,9984,14356,43487,15792,2028,22916,34670,13982,5584,12301,21077,16642,24362,17354,6926,4884,10359,10069
45469,18990,37011,3416,2576,2348,11345,3864,3438,10896,12536,13780,28800,17720,13747,16854,28499,3571,53805,13944,7769,3370,7492,12265,10171,28313,36921,5125,16764,7910,72984,32937,71175,15465,27693,14333,26484,8126,12559,30990,27280,10731,11069,6520,11168,22573,8780,6292,19943,25927,32390,15172,14844,25920,18016,37424,20400,80534,1075,36026,8941,7066,17772,22102,2139,2815,11271,1843,4730,10444,8896,18241,15170,9156,17010,4106,20700,25109,9151,3841,4683,12233,5681,11731,5703,22093,18080,5617,13834,8546,13615,16425,4815,14786,3815,2142,15591,11642,8830,17825
14271,19894,18043,18628,8770,11058,13942,24603,12646,19510,4900,48185,2532,37083,6029,10257,12412,32197,3295,10238,20296,27076,29344,8767,10749,40047,11056,20245,10145,24325,3793,23701,6632,31016,36833,20561,59197,10694,28325,4443,47523,3527,31378,37161,11127,23207,14009,16804,6309,18483,9069,9116,6679,7975,21261,10081,27298,31895,23713,11172,4773,32605,20664,5635,7746,27218,3492,10015,21830,19963,10500,6366,33932,24662,22955,18461,2232,21593,4658,21672,4997,19781,18800,18465,3613,25117,22252,11413,2220,26723,9233,7175,30642,15525,13124,17306,13392,17169,39765,24476
26020,11823,42234,12837,31549,29881,66435,32019,75526,40040,36652,23367,31827,20269,80437,47141,50416,19157,24320,20314,8952,10910,39869,42070,42160,77892,68976,61740,74546,110994,40861,6705,25605,28039,32688,54761,68488,70146,38731,114038,67851,48790,161283,34256,59570,190462,42016,45336,78698,33464,65996,49931,114885,98609,21397,115123,188359,37263,125688,120878,74229,31993,88386,59500,56719,118849,87335,59470,109342,57503,77294,75770,31153,133395,101385,74166,41066,56707,50760,34700,24254,95910,117497,58691,113844,45836,80852,36248,34141,112596,41893,117245,49009,89605,20882,80545,143682,79390,76247,140376
103674,121573,146973,282321,226876,170871,67619,19351,107271,12049,54460,122059,122244,65804,45731,158720,91126,86434,63920,151302,207977,38874,34997,26714,96483,70763,51441,95003,51207,61916,86508,71778,67284,64881,107427,50722,23274,126496,268780,111977,165612,93449,83760,255653,119532,37572,82896,83813,79363,102847,86490,89952,122811,91849,61507,109072,87495,71297,88590,90520,83490,46837,124905,111738,75188,91179,146982,259372,111252,102465,97065,122334,73249,112916,103339,86592,84011,127452,127683,143379,225324,128587,197245,242683,117159,233298,207861,109967,131083,60583,254587,127935,235649,201066,90346,57571,244861,180119,154911,263028
609279,139631,181985,372017,154732,145353,95967,97408,101487,197027,356991,202594,242109,144855,197057,205327,152263,98965,34959,66281,66242,82516,103407,71463,53816,16613,104920,115826,105508,52356,77913,186801,62401,146255,97200,90022,84694,119899,34825,64747,76475,115092,103231,11059,36253,94009,22316,33896,52596,113623,124355,165434,188928,284308,84460,20414,101039,177484,276001,193910,93311,55833,93386,124737,81822,12513,54412,63250,84545,113264,121071,130103,79484,95478,50789,213392,40232,42216,179136,35073,35516,137221,14831,26318,100988,61651,129376,90074,131928,106318,50088,211228,21882,126513,202677,171015,49287,91455,84805,78505
108976,183132,61282,257955,312286,106581,175293,160572,323699,71130,425434,155855,732997,485227,259762,319471,303439,370286,198148,238762,323451,476476,439772,268887,207724,378015,228997,508172,123543,141531,457168,388486,129121,456524,238726,211184,519407,239193,343107,212167,184271,392454,311354,603694,526862,1084009,1304865,410520,668766,706147,511286,763137,167931,204594,649151,952935,85511,782561,314408,186488,81605,228178,274624,170294,206615,151151,161313,111162,394309,194752,263039,70055,232510,172005,339224,230212,285025,234307,391563,199791,361375,493223,420065,412429,97295,231489,157776,347120,381299,524733,220125,278602,160754,233269,171223,334424,158676,533015,239622,345711
209857,878096,157761,193563,292590,498538,233058,340590,161479,219675,366017,429075,498044,297127,537054,531908,283592,93008,511593,247085,531509,133066,452701,271342,440676,146156,1060341,333789,230249,308775,343486,209853,638904,427472,303660,612073,300838,204466,215289,576371,266025,255207,206621,487377,67447,585399,262056,472572,382904,372880,576486,454254,100875,718774,493708,619805,895227,431030,188157,576322,186554,227960,179041,343808,499541,130456,488223,473925,819365,154177,346877,417537,255582,142012,104948,192674,480731,455279,905982,464539,173149,499215,630760,532190,794820,249275,415789,790491,297486,518725,167291,310545,339116,366093,221106,301233,22088,224352,960894,721499
